rank,Youtuber,subscribers,video views,video count,category,started
87,Hurra Kinderlieder,"3,040,000","2,986,610,525",273,Entertainment,2014
88,Like Nastya DE,"3,020,000","1,061,903,350",671,Entertainment,2019
89,BangerChannel,"3,000,000","2,135,587,900",900,Entertainment,2010
90,BUSHIDO,"3,000,000","1,633,836,225",243,Entertainment,2005
91,asmr zeitgeist,"3,000,000","724,940,402",350,Entertainment,2015
92,Elif Karaman,"2,990,000","649,060,810",349,Entertainment,2014
93,MontanaBlack,"2,970,000","340,913,389",377,People & Blogs,2009
94,MurkXtreme Shorts,"2,960,000","2,278,925,828",235,Entertainment,2020
95,RC RC RC!!!,"2,940,000","1,283,299,468","2,041",People & Blogs,2016
96,Elif Foods,"2,940,000","1,792,036,493",347,People & Blogs,2020
97,Uyen Ninh,"2,920,000","5,363,263,070",787,Comedy,2021
98,JONAS,"2,910,000","888,219,844","1,292",Entertainment,2011
99,Mayapolarbear,"2,910,000","559,468,201",214,Pets & Animals,2018
100,Shirin David,"2,900,000","598,189,868",198,Entertainment,2014
101,DVB TV News,"2,850,000","1,339,344,566","102,445",News & Politics,2010
102,SpontanaBlack,"2,830,000","1,007,719,915","1,570",Gaming,2013
103,Fritz Meinecke,"2,810,000","372,129,721",711,People & Blogs,2014
104,unsympathischTV,"2,800,000","707,460,533",634,Entertainment,2014
105,HandOfBlood,"2,800,000","1,141,041,735","2,258",Gaming,2010
106,Arazhul,"2,750,000","3,418,759,570","3,744",Gaming,2012
107,inscope21,"2,750,000","720,249,094","1,635",Entertainment,2010
108,LeFloid,"2,740,000","745,227,754","1,286",Entertainment,2007
109,CrhymeTV,"2,720,000","2,112,586,938",192,Entertainment,2008
110,Frische Rezepte,"2,670,000","556,461,654",737,People & Blogs,2021
111,DW на русском,"2,670,000","1,804,441,519","20,153",News & Politics,2010
112,Gesund und schnell,"2,660,000","599,691,444","1,014",People & Blogs,2021
113,urbanamadei,"2,630,000","898,386,188",739,Sports,2006
114,Julia Beautx,"2,630,000","620,372,563",492,Howto & Style,2013
115,DieLochis,"2,630,000","1,061,543,315",642,Entertainment,2011
116,M7HU,"2,620,000","1,536,471,600","1,058",Gaming,2019
117,JP Performance GmbH,"2,580,000","1,685,282,525","2,450",Autos & Vehicles,2012
118,LatinNow,"2,570,000","2,542,720,838","1,405",Music,2019
119,xKito Music,"2,560,000","2,417,916,324","2,177",Music,2006
120,Kelvin und Marvin,"2,560,000","1,342,637,980","1,286",Entertainment,2016
121,URBAN DANCE CAMP,"2,540,000","532,950,774",223,Education,2010
122,SRS-RC,"2,540,000","965,405,902","1,375",Autos & Vehicles,2015
123,3D VR 360 VIDEOS,"2,520,000","852,483,623",300,Gaming,2015
124,MySpass Stand-up,"2,520,000","1,046,657,029","3,898",Entertainment,2009
125,Schnelle Rezepte,"2,520,000","433,467,820","1,434",Howto & Style,2020
126,DW Documentary وثائقية دي دبليو,"2,500,000","409,140,218","1,111",Education,2018
127,Oggy und die Kakerlaken,"2,500,000","1,205,894,359","2,126",Entertainment,2019
128,iBlali,"2,490,000","676,668,849",468,Entertainment,2011
129,viele Rezepte,"2,470,000","486,558,115",299,People & Blogs,2020
130,H2O - just add water,"2,470,000","1,092,050,023","1,133",Film & Animation,2013
131,Jeremy Fragrance,"2,470,000","366,122,988",548,People & Blogs,2014
132,PietSmiet,"2,470,000","3,749,640,904","28,579",Entertainment,2007
133,Khalid Alnaimi خالد النعيمي,"2,410,000","457,266,665",521,Comedy,2016
134,Leon Machère,"2,400,000","675,489,850",296,Entertainment,2011
135,Andrea Subotic,"2,400,000","2,342,816,887","1,519",People & Blogs,2018
136,LukasBS,"2,400,000","1,258,268,596","2,422",Gaming,2018
137,ViralBe,"2,390,000","364,584,269","1,582",Pets & Animals,2011
138,Trymacs,"2,390,000","1,406,127,701","4,163",Gaming,2016
139,Easy German,"2,380,000","239,307,819","1,252",Education,2015
140,foodiebeats,"2,370,000","2,455,989,736",398,People & Blogs,2021
141,Rapid Liquid,"2,360,000","1,090,847,761",527,Pets & Animals,2016
142,Rebekah Wing,"2,350,000","1,331,192,566","1,376",Entertainment,2014
143,Markey,"2,350,000","566,980,383","1,602",Entertainment,2012
144,Dinge Erklärt – Kurzgesagt,"2,350,000","301,129,722",153,Education,2014
145,WB Kids Deutschland,"2,350,000","1,173,642,783",977,Film & Animation,2019
146,Aysha Siddika,"2,340,000","437,722,889",756,Howto & Style,2015
147,يوسف الصدّيق / Prophet Joseph,"2,320,000",0,0,Film & Animation,2018
148,wie man kocht,"2,320,000","440,254,957",806,People & Blogs,2020
149,Dani Verdari,"2,310,000","2,585,092,728","1,988",People & Blogs,2022
150,DieAussenseiter,"2,300,000","568,149,342",352,Entertainment,2008
151,مميز عراقي 🇮🇶⃤ ɪʀᴀǫɪ,"2,300,000","1,337,267,037",884,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2021
152,Made My Day,"2,290,000","1,218,512,659","1,712",Entertainment,2013
153,Ali friseur,"2,290,000","1,019,864,060",260,People & Blogs,2018
154,FiRiWiTTi,"2,280,000","133,003,631",580,Gaming,2014
155,Animenz Piano Sheets,"2,260,000","586,068,169",227,Entertainment,2010
156,Carlv.,"2,260,000","386,239,325",266,Pets & Animals,2023
157,InsecthausTV (Insecthaus),"2,250,000","997,025,368",676,Pets & Animals,2012
158,MrWissen2go,"2,250,000","408,024,448",855,Education,2012
159,Lecker schnell,"2,240,000","770,187,146","1,038",Education,2020
160,Yalla Gang,"2,210,000",0,0,Entertainment,2011
161,Irene Butsch,"2,210,000","777,179,707","1,132",People & Blogs,2011
162,Her 86m2,"2,200,000","150,978,831",198,People & Blogs,2020
163,ApeCrimeTV,"2,200,000","785,135,839","1,224",Entertainment,2011
164,عائلة شادو SE Family,"2,200,000","138,101,616",173,Entertainment,2012
165,Trimix,"2,190,000","374,510,726",459,Gaming,2016
166,Benx,"2,190,000","2,975,693,909","5,834",Gaming,2014
167,Ocean Conservation Namibia,"2,180,000","1,236,136,440","2,647",Nonprofits & Activism,2011
168,Die Crew,"2,180,000","1,224,569,805","1,571",Gaming,2016
169,Packet Head Shorts,"2,170,000","644,069,137",502,People & Blogs,2023
170,Emrah,"2,160,000","349,943,601",179,Education,2011
171,Peppa Pig Deutsch - Offizieller Kanal,"2,160,000","2,352,686,060","4,134",Film & Animation,2015
172,mr bundesteam,"2,150,000","319,268,250",128,Sports,2014
